prompt_id,symptom,severity,original_text,rephrase_1,rephrase_2,rephrase_3,rephrase_4,rephrase_5
bai_1_0,Numbness,0,This month I haven't felt any numbness,My arms feel just like normal,My body feels pretty typical,Even when I worry my body feels fine,"When work gets hard, my body still feels calm",My legs sometimes feel numb when I sit weird
bai_1_1,Numbness,1,This month I've felt some mild numbness but it hasn't bothered me much,Sometimes my arms feel tingly but I don't notice much,Occasionally I feel numb when I am stressed but I know how to get past it,When I think about my worries my body sometimes tingles but it's not that bad,"When work gets hard, sometimes my legs feel like they're on pins and needles but it's not a big deal",Things go numb sometimes but it never lasts that long
bai_1_2,Numbness,2,This month I've felt some moderate numbness and it wasn't pleasant at times,Sometimes my arms feel tingly and it annoys me,I often feel numb when I am stressed,When I think about my worries my body usually starts to tingle,"When work gets hard, my legs usually feel like they're on pins and needles and it can get a bit annoying",Things go numb for me a lot and I've started to not like it
bai_1_3,Numbness,3,This month I've felt some severe numbness and it has bothered me a lot,Sometimes my arms feel tingly and I worry about it a lot,My body always goes numb when I am stressed and I wish it would stop,When I think about my worries my body always tingles everywhere and it takes a long time for it to go away,"When work gets hard, my legs always feel like they're on pins and needles and it causes me great discomfort",Things have gone numb for me all the time recently and I really hate it
bai_2_0,Hot,0,This month I've haven't felt hot,My body temperature feels normal,I feel warm and cozy,Sometimes it gets hot out in the sun,I don't feel too hot or too cold,My friends and I agree that it's hot
bai_2_1,Hot,1,This month I've felt mildly hot but it hasn't bothered me much,I sometimes get overheated but I can deal with it,My body's felt warm lately but it's not that bad,I feel hot sometimes but I'm not concerned about it,My body has started to run hotter than other people but I'm used to it,Sometimes I feel like it's hot even though my friends say it's not
bai_2_2,Hot,2,This month I've felt moderately hot and it wasn't pleasant at times,I get overheated a lot and it can be annoying,My body's felt really warm lately and sometimes it's frustrating,I feel hot a lot and I wish I could stop it,My body has started to run hotter than other people and it can be difficult sometimes,Lately I've felt like it's hot a lot of the time even though my friends say it's not
bai_2_3,Hot,3,This month I've felt severely hot and it has bothered me a lot,I'm always getting overheated and it's really uncomfortable,My body's felt really warm and it's unbearable,I feel hot all the time and I can't treat it no matter what I try,My body has started to run hotter than other people and it causes me lots of distress,I always feel like it's hot even though my friends say it's not and I'm starting to wonder if there's something wrong with me
bai_3_0,Wobbly legs,0,This month my legs haven't been wobbly,My legs feel steady,My legs feel strong,I have good balance,I stand with a power pose when I speak in public,I know how calm my body before a test
bai_3_1,Wobbly legs,1,This month my legs have felt mildly wobbly but it hasn't bothered me much,Every once in a while my legs get unsteady,When I get worried my legs can feel a bit weak,Sometimes I feel off balance when I get stressed,When I speak in public my legs shake sometimes but I can get through it,Sometimes I sit down in the hallway before a big test so that my legs don't quiver
bai_3_2,Wobbly legs,2,This month my legs have felt moderately wobbly and it wasn't pleasant at times,Sometimes my legs get unsteady and I have to rest,When I get worried my legs sometimes start to shake,I often feel off balance when I'm stressed and have to lie down,I can have trouble speaking in public because my legs sometimes shake,I've started sitting down in the hallway before a big test because I know my legs will start to quiver
bai_3_3,Wobbly legs,3,This month my legs have felt severely wobbly and it has bothered me a lot,"Very frequently, my legs get unsteady and I have to rest for a while",When I get worried my legs always start shaking uncontrollably,I always lose my balance when I'm stressed and have to lie down right away,I will never speak in public because my legs always shake no matter what I do,I hate going to tests because my legs always quiver and I have to sit for a long time before I can walk into class
bai_4_0,Unable to relax,0,This month I've been able to relax,I can relax easily,I know how to calm myself down when I need to,I haven't been very stressed lately,I feel peaceful most of the time,When I feel on edge I have strategies that always calm me down
bai_4_1,Unable to relax,1,This month I've been mildly unable to relax but it hasn't bothered me much,Sometimes relaxing can be hard but it's not a big problem for me,It is difficult for me to calm down but I've been getting through it,I'm stressed sometimes but it doesn't feel like a big problem to me,I want to feel peaceful but sometimes it's hard to,I feel on edge sometimes but I can usually work past it
bai_4_2,Unable to relax,2,This month I've been moderately unable to relax and it wasn't pleasant at times,I sometimes find that I can't get myself to relax and it frustrates me,At times it is difficult for me to calm down and it can make me feel bad,I'm stressed out a lot and I don't always know how to deal with it,I want to feel peaceful but it's often hard for me to get there,I feel on edge sometimes and I don't like that feeling
bai_4_3,Unable to relax,3,This month I've been severely unable to relax and it has bothered me a lot,I find it very hard to relax and it is extremely frustrating for me,It is impossible for me to calm down and it gets in the way of me accomplishing goals,I've been so stressed recently it makes me feel exhausted and I need it to stop,I want to feel peaceful but I can't no matter how hard I try,I always feel on edge it never goes away
bai_5_0,Fear worst,0,This month I haven't feared the worst happening,I have an optimistic outlook,I rarely worry about things,I try to think about the best things that can happen in a situation,I know how to see the good in life,I don't think much about negative things
bai_5_1,Fear worst,1,This month I've had a mild fear of the worst happening but it hasn't bothered me much,I sometimes fear things will turn out badly but I can get through it,I worry sometimes about bad things happening,I sometimes find myself thinking about worst case scenarios but not often,My mind sometimes plays out worst case scenarios but I can usually redirect myself,I sometimes worry about bad things happening but I can usually get over it
