prompt_id,symptom,severity,original_text,rephrase_1,rephrase_2,rephrase_3,rephrase_4,rephrase_5
bai_1_0,Numbness,0,This month I haven't felt any numbness,My arms only feel tingly if I sit a weird way,I feel pretty typical,Even when I worry my body feels fine,"When work gets hard, my body still feels calm",I only feel numb if I'm out in the cold for a long time
bai_1_1,Numbness,1,This month I've felt some mild numbness and tingling but it hasn't bothered me much,Sometimes my arms feel tingly but I don't notice much,Sometimes I feel numb when I worry but I know how to get past it,When I think about my worries my body sometimes tingles but it's not that bad,"When work gets hard, sometimes my legs feel like they're on pins and needles but it's not a big deal",Things can go numb sometimes but it never lasts that long
bai_1_2,Numbness,2,This month I've felt some moderate numbness and tingling and it wasn't pleasant at times,Sometimes my arms feel tingly and it annoys me,I often feel numb when I worry ,When I think about my worries my body usually starts to tingle  ,"When work gets hard, my legs usually feel like they're on pins and needles and it can get annoying",Things go numb for me a lot and I've started to not like it
bai_1_3,Numbness,3,This month I've felt some severe numbness and tingling and it bothered me a lot,Sometimes my arms feel tingly and I worry about it a lot,My body always goes numb when I worry and I wish it would stop,When I think about my worries my body always tingles everywhere and it takes a long time for me to stop it,"When work gets hard, my legs always feel like they're on pins and needles and it bothers me so much",Things have gone numb for me all the time recently and I really hate it
bai_2_0,Hot,0,This month I've haven't felt hot,My body temperature feels normal,I feel warm and cozy,Sometimes it gets hot out in the sun,I don't feel too hot or too cold,My friends and I agree that it's hot
bai_2_1,Hot,1,This month I've felt mildly hot but it hasn't bothered me much.,I sometimes get overheated but I can deal with it,My body's felt warm lately but it's not that bad,I feel hot sometimes but I'm not concerned about it,My body has started to run hotter than other people but I'm used to it,Sometimes I feel like it's hot even though my friends say it's not
bai_2_2,Hot,2,This month I've felt moderately hot and it wasn't pleasant at times,I get overheated a lot and it can be annoying,My body's felt warm lately and sometimes it's not comfortable,I feel hot a lot and I wish I could stop it,My body has started to run hotter than other people and it can be difficult sometimes,Recently I've felt like it's hot even though my friends say it's not
bai_2_3,Hot,3,This month I've felt severely hot and it bothered me a lot,I'm always getting overheated and it's really uncomfortable,My body's felt warm and it's so frustrating,I feel hot all the time and I can't stop it no matter what I try,My body has started to run hotter than other people and it causes me lots of problems,Lately I've felt like it's hot a lot of the time even though my friends say it's not and I'm starting to wonder if there's something wrong with me
bai_3_0,Wobbly legs,0,This month my legs haven't been wobbly,My legs feel steady,My legs feel strong,I have good balance,I do a good job speaking in public,I know how to deal with stress before a test
bai_3_1,Wobbly legs,1,This month my legs have felt mildly wobbly but it hasn't bothered me much,Every once in a while my legs get unsteady,When I get worried my legs can feel a bit weak,Sometimes I feel off balance when I get stressed,When I speak in public my legs shake sometimes but I can get through it,Sometimes I sit down in the hallway before a big test so that my legs don't wobble
bai_3_2,Wobbly legs,2,This month my legs have felt moderately wobbly and it wasn't pleasant at times,Sometimes my legs get unsteady and I have to sit down ,When I get worried my legs sometimes start to shake,I often feel off balance when I'm stressed and have to take a seat,I can have trouble speaking in public because my legs sometimes shake,I've started sitting down in the hallway before a big test because I know my legs will wobble
bai_3_3,Wobbly legs,3,This month my legs have felt severely wobbly and it has bothered me a lot,"More and more often, my legs get unsteady and I have to sit for a while",When I get worried my legs always start shaking uncontrollably ,I always lose my balance when I'm stressed and have to sit down right away,I will never speak in public because my legs always shake no matter what I do,I hate going to tests because my legs always wobble and I have to sit for a long time before I can walk into class
bai_4_0,Unable to relax,0,This month I've been able to relax,I can relax easily,I know how to calm myself down when I need to,I haven't been very stressed lately,I feel peaceful most of the time,When I feel on edge I have strategies that calm me down
bai_4_1,Unable to relax,1,This month I've been unable to relax but it hasn't bothered me much,Sometimes relaxing can be hard but it's not a big problem for me,It can be hard for me to calm down but I've been getting through it,I'm stressed sometimes but it doesn't feel like a big problem to me,I want to feel peaceful but sometimes it's hard to,I feel on edge sometimes but I can usually get past it
bai_4_2,Unable to relax,2,This month I've been unable to relax and it wasn't pleasant at times,I sometimes find that I can't get myself to relax and it frustrates me,It can be hard for me to calm down and it can make me feel bad,I'm stressed out a lot and I don't always know how to deal with it,I want to feel peaceful but it can be hard for me to get there,I feel on edge sometimes and I don't like how it feels
bai_4_3,Unable to relax,3,This month I've been unable to relax and it has bothered me a lot,I find it very hard to relax and it bothers me a lot,It can be hard for me to calm down and it gets in the way of me accomplishing goals,I've been so stressed it's throwing me for a loop and I want it to stop,I want to feel peaceful but I can't no matter how hard I try,I always feel on edge it never goes away
bai_5_0,Fear worst,0,This month I haven't feared the worst happening,I have an optimistic outlook ,I rarely worry about things,I try to think about the best things that can happen in a situation,I know how to see the good in situations,I don't think much about negative things
bai_5_1,Fear worst,1,This month I've feared the worst happening but it hasn't bothered me much,I sometimes fear things will turn out badly but I can get through it,I worry sometimes about bad things happening ,I sometimes find myself thinking about worst case scenarios but not often ,My mind sometimes plays out worst case scenarios but I can usually redirect myself,I sometimes worry about bad things happening but I can usually move past it
bai_5_2,Fear worst,2,This month I've feared the worst happening and it wasn't pleasant at times,I sometimes fear the worst happening and I dislike it,I worry a lot that bad things will happen to me,Sometimes my mind gets stuck on worst thing that could happen,My mind plays out the worst case scenario in a lot of situations,I often worry something bad might happen to me
bai_5_3,Fear worst,3,This month I've feared the worst happening and it has bothered me a lot,I fear the worst in a lot of situations and it concerns me,I'm always worrying bad things are going to happen to me ,"My mind always goes straight to the worst thing possible, its exhausting",My mind always gets stuck on the worst case scenario no matter what I do,I'm always worrying something terrible will happen to me and I hate it
bai_6_0,Dizzy,0,This month I haven't felt dizzy or lightheaded ,I'm glad I don't ever feel dizzy,I'm glad my head feels good,My head's been feeling good lately,My head feels just like usual ,My head feels normal 
bai_6_1,Dizzy,1,This month I have felt mildly dizzy or lightheaded but it hasn't bothered me much,My head has felt dizzy more often than usual lately but it doesn't last long,Every once in a while I get a dizzy spell but they're not a big deal to me,My head sometimes feels like it's spinning but I can usually get it under control,Sometimes I feel a little lightheaded but it usually passes before too long,My head feels strange sometimes but I don't pay much attention to it
bai_6_2,Dizzy,2,This month I have felt moderately dizzy or lightheaded and it wasn't pleasant at times,My head has been feeling dizzy a lot recently,I have dizzy spells and I don't like how they feel,My head has been feeling like it's spinning more than usual,I've started to feel lightheaded more often ,My head feels strange more than I'd like 
bai_6_3,Dizzy,3,This month I have felt severely dizzy or lightheaded and it has bothered me a lot,My head has felt really dizzy recently and it's stopping me from getting things done,I have really bad dizzy spells for no reason and it bothers me alot,I'm getting worried because my head feels like it's spinning a lot,I've felt lightheaded a lot this month and it feels out of the norm,My head feels strange all the time now and it bothers m
bai_7_0,Heart pounding,0,This month I haven't felt my heart racing,I know how to keep my body calm,I don't usually feel stress in my body,I have a strong heartbeat,I don't ever really feel my worry physically,My heart beats fast when I'm running
bai_7_1,Heart pounding,1,This month I have had mild feelings of my heart racing but it hasn't bothered me much,I sometimes feel my heart beat loudly but I can usually calm down,"Every once in a while I hear my heartbeat in my ears for a bit, but I'm not worried about it",Yesterday I felt my heart beat loud in my chest but it went away before too long,My heart races sometimes but I've learned how to deal with it,My heart occasionally beats fast for no reason but it's not a big concern for me
bai_7_2,Heart pounding,2,This month I have had moderate feelings of my heart racing and it wasn't pleasant at times,I sometimes feel my heart pounding and don't know what to do,More often recently I've heard my heartbeat in my ears and it can be uncomfortable,"More often lately, my heart has been beating hard in my chest ",My heart has been racing more than usual and it's getting frustrating,My heart has started beating fast for no reason 
bai_7_3,Heart pounding,3,This month I have had severe feelings of my heart racing and it has bothered me a lot,I often feel my heart pounding without any reason and I hate it,It seems like every day I have a moment when I hear my heart beating fast in my ears and I'm getting really worried about it,"Too often, it feels like my heart is going to beat out of my chest and I really don't like how it feels",I'm concerned because my heart has been racing all the time,My heart beats fast all the time for no reason and it makes everything worse for me
bai_8_0,Unsteady,0,This month I haven't felt unsteady,My life feels under control,I know how to get through work that's hard,If something goes wrong I deal with it one step at a time,Everything feels in balance,I'm a stable person
bai_8_1,Unsteady,1,This month I have felt mildly unsteady but it hasn't bothered me much,My life can seem unsteady to me but the feeling usually passes,My work can make me feel unsteady sometimes but I think I can get through it,If something goes wrong I feel unsteady at first ,Things feel a little out of balance to me but I'm mostly okay,I think I might be a bit unstable but I'm trying to manage it
