prompt_id,symptom,severity,original_text,rephrase_1,rephrase_2,rephrase_3,rephrase_4,rephrase_5
bdi_1_0,sadness,0,I do not feel sad.,I'm doing well right now,When I wake up I feel ready for my day,So much has been going on lately but I'm doing good,I feel great today!,I feel okay
bdi_1_1,sadness,1,I feel sad.,I've been feeling a bit down,When I wake up I feel sad,So much has been going on lately and I feel sad about it at the end of the day,I feel miserable,I don't feel happy
bdi_1_2,sadness,2,I am sad all the time and I can't snap out of it.,I've been down a lot lately and I'm not sure how I can change it,When I wake up I usually feel sad and it doesn't go away all day.,So much has been going on lately and I feel so sad about it all the time.,I always feel miserable,I never seem to feel happy 
bdi_1_3,sadness,3,I am so sad and unhappy that I can't stand it.,I feel so down all the time it's overwhelming,When I wake up I usually feel sad and it's getting to be too much for me.,So much has been going on lately and I feel a sadness that I can't escape.,I can't withstand the weight of my misery.,I am never happy and that's so overwhelming
bdi_2_0,hopelessness,0,I am not particularly discouraged about the future.,I have lots to look forward to next month,"Looking ahead, things going to be alright",I'm excited about what's next,I feel hopeful,Today feels like it will be a good day
bdi_2_1,hopelessness,1,I feel discouraged about the future.,Next month is probably going to be bad,"Looking ahead, things are going to be tough",I'm not feeling great about what's next,I don't feel optimistic about the future,I'm not optimistic about tomorrow
bdi_2_2,hopelessness,2,I feel I have nothing to look forward to.,I'm not excited about anything coming up next month,"Looking ahead, I'm not sure there's anything good for me",I'm feeling bad about everything that's next,I don't feel like waking up to the next day ,I know tomorrow holds nothing for me
bdi_2_3,hopelessness,3,I feel the future is hopeless and that things cannot improve.,Next month is going to be horrible and I'm not sure things will ever get better,"Looking ahead, everything is going to be bad and it's never getting better",I have no hope for what's next and it'll always be like this,There's no point in trying to do anything ,I am deeply pessimistic about the future and I cannot be convinced otherwise
bdi_3_0,failure,0,I do not feel like a failure.,I make mistakes sometimes but I still feel good about myself,I mess things up sometimes but it's all good,I get things wrong from time to time but it's okay,I feel accomplished,I feel like I have value
bdi_3_1,failure,1,I feel I have failed more than the average person.,I keep making mistakes and it seems like my friends are all doing better than me,I'm always messing things up more than others,I'm getting things wrong all the time,I don't feel as accomplished as others,I think I have tripped over life's hurdles more than most people
bdi_3_2,failure,2,"As I look back on my life, all I can see is a lot of failures.",I've realized that my life has been a series of big mistakes,I've messed up so many times in my life ,I understand now that I've always been getting things wrong,I have done nothing worthwhile,I don't think I have done anything meaningful in life
bdi_3_3,failure,3,I feel I am a complete failure as a person.,I've made so many mistakes that I know I'll never be able to make up for them,I've messed up so much in my life that I feel worthless now,I always get everything wrong and feel defined by it,Everything I do is worth nothing and that's all I am,"When I think about my past, I see nothing but disappointment"
bdi_4_0,dissatisfaction,0,I get as much satisfaction out of things as I used to.,I'm enjoying doing more activities,I have fun doing the things I like,It's definitely worth doing things I like,I am enjoying all of my current hobbies ,I feel content about the way things are
bdi_4_1,dissatisfaction,1,I don't enjoy things the way I used to.,I usually love the activities I plan into my week but they've felt pretty boring lately,Things I like aren't as fun as they used to be,I'm questioning the point of the things I used to like,I don't like my hobbies as much as I used to ,I used to savor every moment but I don't anymore
bdi_4_2,dissatisfaction,2,I don't get real satisfaction out of anything anymore.,None of the activities I've planned for my week are appealing to me anymore,Nothing feels really fun to me anymore,I've realized there's no point in the things I used to like,I've tried to do so many new things but everything feels boring ,Nothing seems to really please me
bdi_4_3,dissatisfaction,3,I am dissatisfied or bored with everything.,I hate doing all the activities I used to enjoy,Nothing at all feels fun to me anymore,I know now that everything I used to like is completely pointless,Nothing I do brings me joy,I am completely uninterested in everything
bdi_5_0,guilt,0,I don't feel particularly guilty.,I do things wrong sometimes but I don't blame myself,I let my family down but I know they'll forgive me,I've done a few bad things in life but I don't get caught up on them,I make mistakes but I try to learn from them,I'm no saint but I'm as good as anyone else
bdi_5_1,guilt,1,I feel guilty a good part of the time.,When I do things wrong I sometimes feel like it's my fault,I'm disappointed in myself for letting my family down,I often regret the bad things I've done in life,Sometimes I beat myself up about my mistakes,"Pretty often, I feel I have done something wrong"
bdi_5_2,guilt,2,I feel quite guilty most of the time.,Most of the things I do wrong feel like my fault,I feel pretty bad about letting my family down,I'm filled with regret about the bad things I've done in life,I can't stop worrying about the mistakes I have made,"More often than not, I feel I am to blame"
bdi_5_3,guilt,3,I feel guilty all of the time.,Everything that goes wrong feels like it's my fault,I hate myself for letting my family down,I always feel so terrible for the bad things I've done in life,There's so many mistakes I have made and I feel terrible about them,I feel remorseful all the time
bdi_6_0,punishment,0,I don't feel I am being punished.,Sometimes things go bad but that's just life,It just started storming outside,I've sinned but I know I'm forgiven,"I've taken responsibility for all my actions, good and bad",I don't think I'm being made to feel I've done something wrong
bdi_6_1,punishment,1,I feel I may be punished.,I think things might go bad because of me,It just started storming outside and maybe it's because of me,I might be punished for my sins,I did something bad and am scared about how it will come back to me,I think there's a chance I will be chastised
